Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:12650000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
12650000;1;01/03/2022;;1;1;2202,686;428,771;1372,199;23;7;1;1;1;0;0;1427,413;1409,113;1133,04;639,354;505,083;437,551;428,771;554,289;906,98;1198,24;1303,257;1432,423;1555,152;1551,678;1675,427;1775,799;1829,831;1850,526;1786,915;1442,468;1742,646;2145,691;2202,686;2194,501;1775,799;1246,312;1493,192;1643,178;1345,131;1013,491;892,221;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12650000;1;01/02/2022;;1;1;1539,55;330,648;916,027;22;8;1;1;1;0;0;768,279;874,925;676,388;516,456;570,41;489,172;464,388;330,648;661,224;744,789;670,537;648,52;795,909;772,02;996,525;997,934;915,079;821,427;671,705;792,114;1133,04;1539,55;1402,486;1432,423;1477,888;1506,858;1513,713;1464,347;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
12650000;1;01/01/2022;;1;1;860,416;68,313;340,742;27;11;1;1;1;0;0;381,126;363,932;314,562;216,908;186,127;79,532;106,142;108,905;91,965;72,476;68,313;93,685;326,784;416,616;406,327;364,742;313,806;287,853;225,267;249,177;364,742;640,496;501,318;479,923;507,915;620,081;860,416;568,248;460,767;413,173;471,669;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12650000;1;01/12/2021;;1;1;972,721;168,143;552,095;9;6;1;1;1;0;0;184,35;183,169;188,509;192,711;179,065;168,143;458,06;897,575;972,721;588,944;848,629;833,034;712,001;479,923;452,668;427,024;425,281;695,274;733,782;853,858;947,814;881,558;835,624;873,601;768,279;630,25;407,18;401,227;351,875;292,961;249,857;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12650000;1;01/11/2021;;1;1;530,836;102,06;221,888;23;10;1;1;1;0;0;200,629;195,132;174,428;135,242;116,912;104,773;106,601;106,601;105,685;102,06;167,577;239,079;267,841;264,337;209,949;161,966;161,409;151,548;130,67;131,68;156,991;443,747;530,836;416,616;355,072;345,522;363,932;301,813;260,162;247,819;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
12650000;1;01/10/2021;;1;1;168,143;20,348;52,11;31;21;1;1;1;0;0;77,938;71,329;67,94;63,903;61,038;57,543;54,48;47,635;40,044;35,507;32,801;30,707;28,428;25,993;25,517;24,58;24,117;23,203;22,753;20,991;20,348;22,753;28,428;38,028;48,906;67,94;79,933;91,965;98,936;113,583;168,143;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12650000;1;01/09/2021;;1;1;100,269;5,95;38,17;28;1;1;1;1;0;0;5,95;7,477;9,017;10,532;11,494;13,182;14,246;15,914;15,914;15,348;14,977;14,066;14,792;18,882;21,425;23,658;25,517;28,428;32,271;35,507;38,028;45,448;69,813;81,141;90,259;94,985;98,493;100,269;92,823;85,23;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
12650000;1;01/08/2021;;1;1;21,644;5,711;16,787;1;31;1;1;1;0;0;21,644;21,208;20,776;20,348;19,924;19,924;19,504;19,504;19,504;19,088;19,088;19,088;18,677;18,677;18,677;18,27;18,27;18,27;17,867;17,468;17,468;17,073;16,682;15,914;15,162;11,494;11,331;9,761;7,343;6,693;5,711;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12650000;1;01/02/2020;;1;1;1271,473;404,624;694,186;23;16;1;1;1;;0;825,287;772,02;722,853;675,216;516,456;417,479;555,357;639,354;707,203;748,475;777,021;797,176;778,273;824;679,911;404,624;466,203;484,537;541,55;548,964;550,027;1012,072;1271,473;1075,396;942,32;561,785;557,496;624,591;654,28;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
12650000;1;01/01/2020;;1;1;1621,843;256,705;585,701;2;17;1;1;1;;0;1539,55;1621,843;1356,512;1260,436;942,32;785,809;567,169;566,09;548,964;527,946;508,861;490,101;468,932;441,087;329,874;272,073;256,705;413,173;498,503;550,027;567,169;466,203;441,973;417,479;448,197;372,074;343,153;320,646;297,372;275,623;260,855;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
