Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:13180000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
13180000;1;01/10/2020;;1;1;207,845;120,657;161,277;8;22;1;1;1;;0;169,615;164,525;159,527;154,619;165,789;176,107;196,453;207,845;193,664;181,404;172,194;162,015;157,062;152,199;147,427;142,745;138,151;133,646;129,229;124,899;121,709;120,657;137,016;150,998;157,062;162,015;172,194;178,744;182,743;190,898;196,453;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/09/2020;;1;1;236,438;121,709;169,085;1;26;1;1;1;;0;236,438;233,326;230,237;225,65;219,619;212,216;204,962;199,265;193,664;188,157;182,743;177,422;172,194;167,059;162,015;157,062;152,199;147,427;142,745;138,151;133,646;130,325;128,138;125,974;123,83;121,709;121,709;132,533;145,075;167,059;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/08/2020;;1;1;498,523;245,923;353,181;1;31;1;1;1;;0;498,523;474,59;462,884;453,644;444,513;435,492;422,165;413,415;404,774;396,241;387,815;379,496;371,283;363,176;355,174;347,278;339,486;331,799;324,216;316,736;309,359;302,084;294,912;287,841;280,871;274,002;267,234;260,565;253,995;249,133;245,923;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/07/2020;;1;1;561,424;143,907;233,311;30;23;1;1;1;;0;253,995;247,525;239,575;231,778;225,65;219,619;213,684;207,845;202,102;196,453;190,898;185,438;180,071;174,797;169,615;164,525;159,527;154,619;149,802;149,802;146,248;146,248;143,907;143,907;170,902;247,525;339,486;417,777;472,235;561,424;525,656;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/06/2020;;1;1;761,591;260,565;416,702;7;30;1;1;1;;0;437,737;417,777;409,082;402,631;540,815;654,152;761,591;733,824;637,178;543,366;503,393;484,08;444,513;406,925;396,241;385,725;371,283;357,165;345,32;335,63;327,995;320,463;313,034;305,708;294,912;287,841;280,871;274,002;267,234;260,565;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/05/2020;;1;1;1199,959;462,884;721,437;18;31;1;1;1;;0;902,764;793,16;721,678;706,665;718,661;730,776;709,653;662,738;634,374;604,018;612,21;657,006;677,195;715,651;770,982;865,297;969,704;1199,959;1065,928;941,174;727,736;697,746;685,958;739,942;697,746;628,79;574,537;505,838;497,31;486,47;462,884;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/04/2020;;1;1;3326,18;614,955;1490,694;4;28;1;1;1;;0;2841,909;3099,825;3237,44;3326,18;3326,18;2781,167;2482,73;2198,26;1853,863;1801,539;1755,202;1553,071;1287,466;1069,736;973,306;895,882;841,941;786,785;739,942;730,776;761,591;749,175;697,746;657,006;648,464;642,807;637,178;614,955;780,441;948,259;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/03/2020;;1;1;2979,679;877,117;1432,924;3;27;1;1;1;;0;2801,329;2571,443;2979,679;2292,808;1553,071;1112,163;1047,005;995,082;948,259;902,764;1024,561;1183,703;1204,044;1232,866;1139,671;1043,244;976,915;909,677;1039,491;1321,763;1734,837;1896,361;1557,827;1468,913;1625,328;1220,464;877,117;976,915;1069,736;1450,587;2263,009;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/02/2020;;1;1;1538,852;739,942;1069,355;29;6;1;1;1;;0;1151,582;1020,848;934,12;841,941;799,565;739,942;783,609;875,422;1100,495;1300,265;1339,112;1249,517;1108,266;1017,143;1179,659;1300,265;1145,617;1013,447;828,765;789,969;878,813;1043,244;1278,975;1135,717;1199,959;1167,577;1085,051;1163,566;1538,852;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
13180000;1;01/01/2020;;1;1;2889,69;709,653;1501,187;4;15;1;1;1;;0;2539,549;2571,443;2610,027;2889,69;2808,068;2741,103;2257,076;1765,438;1679,555;1352,211;973,306;906,217;841,941;802,779;709,653;851,905;1062,127;1295,991;1347,837;1228,724;1187,754;1119,982;872,039;991,433;1321,763;1572,149;1786,014;1548,322;962,524;885,617;1054,55;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/12/2019;;1;1;3000,677;944,713;1792,485;22;1;3;3;3;;0;944,713;991,433;1083,13;1183,703;1245,342;1259,991;1163,566;991,433;969,704;955,376;955,376;1081,211;1175,623;1446,026;1596,192;2347,027;2721,199;2365,267;2310,798;2408,152;2848,706;3000,677;2754,419;2584,267;2439,063;2426,67;2221,677;1775,708;1694,527;2180,794;2445,273;;;3;;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;
13180000;1;01/11/2019;;1;1;1195,883;316,736;640,683;19;1;1;1;1;;0;316,736;379,496;367,216;353,19;351,213;339,486;333,711;329,893;326,102;322,336;387,815;533,203;500,954;569,271;628,79;767,844;1043,244;969,704;1195,883;1062,127;851,905;758,475;832,047;691,837;730,776;755,367;815,71;858,585;899,319;948,259;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/10/2019;;1;1;574,537;233,326;348,962;28;1;1;1;1;;0;233,326;247,525;253,995;260,565;272,301;267,234;244,327;250,748;258,913;272,301;263,887;257,268;282,604;287,841;309,359;347,278;394,124;359,162;351,213;343,369;335,63;353,19;383,642;398,364;444,513;500,954;543,366;574,537;566,648;508,291;451,351;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/09/2019;;1;1;665,615;206,4;511,463;21;30;3;3;3;;0;617,707;617,707;617,707;617,707;623,234;623,234;626,008;631,578;642,807;648,464;637,178;631,578;626,008;620,467;617,707;614,955;609,472;604,018;601,302;631,578;665,615;270,605;284,343;286,089;267,234;239,575;230,237;222,623;210,753;206,4;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;
13180000;1;01/08/2019;;1;1;680,109;561,424;607,27;1;13;3;3;3;;0;680,109;680,109;662,738;659,868;648,464;637,178;626,008;617,707;604,018;593,197;582,491;571,9;561,424;604,018;601,302;601,302;601,302;598,593;595,891;593,197;587,83;585,157;582,491;579,833;574,537;579,833;587,83;598,593;604,018;612,21;612,21;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
